ConditionHazard #,Class,Number,Type,Extent,Problem,Location/Comments,Priority,Cause,Feature #
36797,Condition,1,Changing Table Damaged,1,Heavy,sealed with electrical tapes in the women's restroom.,,1,209217
36798,Condition,1,Fixture Deterioration,1,Heavy,/damaged Syringe Receptacle in the women's restroom.,,0,209217
36859,Condition,1,Dispensers Missing Soap,3,,,,0,209928
37943,Condition,1,No Toilet Paper,3,,,,0,212057
43455,Condition,1,Litter,1,Light,,,0,237229
43460,Condition,1,Toilets OOS,5,Light,in Womens PR,,0,237361
22348,Condition,2,Soap Dispensers Missing,2,,,,0,160435
22350,Condition,1,Hand Dryer Damaged / OOS,2,,broken,,0,160435
22459,Condition,,Litter,,Light,at restroom.,,0,161485
22466,Condition,1,Toilets OOS,4,Light,,,0,161839
23558,Condition,,Litter,,Light,in stall,,0,164186
43141,Condition,1,Litter,1,Light,,,0,233728
43159,Condition,1,Litter,1,Light,,,0,234128
43892,Condition,1,No Toilet Paper,1,,,,1,243127
43922,Condition,2,Dispensers Missing Soap,2,,,,1,243527
43999,Condition,,Wall Deterioration,,Light,Stall wall.,,0,244806
44004,Condition,1,Dispensers Missing Soap,1,,,,1,244899
44005,Condition,1,No Toilet Paper,5,,,,0,244899
44008,Condition,,Litter,,Light,on floor,,0,244906
9267,Condition,,No Toilet Paper,,,in one of two stalls.,,0,44586
9377,Condition,2,Wall Deterioration,2,,stall door locks broken,,0,45003
9380,Condition,,Dispensers Missing Soap,,,,,1,45022
9381,Condition,,No Paper Towels / Hand Dryer,,,,,1,45022
16422,Condition,,Litter,,Light,in toilet stall,,0,97215
14980,Condition,,Litter,,Light,in stall,,0,83894
14981,Condition,1,Toilets OOS,3,,,,0,83896
15039,Condition,,Litter,,Light,toilet stall,,0,84428
15976,Condition,,Spray Paint,,,on stall wall.,,0,92403
16045,Condition,,Scratches,,,on toilet paper dispenser.,,0,93035
16113,Condition,,Litter,,Heavy,in CS,,1,93673
13448,Condition,,Litter,,Light,in ADA stall,,,70224
13523,Condition,,,,,Scratches on mirror.,,0,71041
13565,Condition,1,Towel Dispensers Damaged,1,Light,closed with duct tape; fully functional,,0,71509
15208,Condition,1,,1,,hand dryer not working.,,0,86436
15320,Condition,1,Toilets OOS,,,,,0,87370
15364,Condition,1,Fixture Deterioration,1,,constantly running,,0,87806
15377,Condition,1,Toilets OOS,2,,,,1,87870
15376,Condition,1,Urinals OOS,2,,(missing),,1,87874
15395,Condition,,Litter,,Light,,,0,88023
15426,Condition,,Wall Deterioration,,,(plastic molding damaged),,0,88072
15431,Condition,,Hand dryer push button broken,,,,,0,88072
14241,Condition,1,Sinks OOS,1,,,,0,78027
14257,Condition,,Sinks OOS,1,,,,0,78127
14267,Condition,1,Soap Dispensers Damaged,1,,,,0,78227
14294,Condition,1,Dispensers Missing Soap,1,,,,1,78412
14295,Condition,,Dispensers Missing Soap,1,,,,1,78414
14347,Condition,,Toilets OOS,,,,,0,78699
14348,Condition,,,,,Doors rusted on wheelchair accessible CS,,0,78699
14391,Condition,1,No Toilet Paper,2,,,,1,79031
14481,Condition,,No Paper Towels / Hand Dryer,,,,,1,79767
16568,Condition,2,Dispensers Missing Soap,2,,,,1,98817
16627,Condition,,Changing Tables Deteriorated,,,strap missing,,0,99436
11788,Condition,,Litter,,Light,on floor.,,0,58226
11894,Condition,,No Paper Towels / Hand Dryer,,,,,1,58911
11952,Condition,1,Toilets OOS,1,,won't flush,,1,59328
11954,Condition,1,Dispensers Missing Soap,1,,,,1,59343
17339,Condition,2,Toilets OOS,4,,,,0,105003
10283,Condition,,Litter,,Moderate,on floor,,0,50302
10318,Condition,,Litter,,Light,strewn around stalls,,0,50453
10350,Condition,1,Sinks OOS,1,,"faucet broken, no water",,0,50638
10351,Condition,1,Stalls Missing Doors,1,,,,0,50638
10373,Condition,1,Dispensers Missing Soap,1,,,,1,50736
10537,Condition,1,Dispensers Missing Soap,1,,,,1,51489
10538,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,51489
10694,Condition,1,Hand Dryers Broken,1,,,,1,52274
10736,Condition,1,Toilets OOS,4,,clogged,,1,52459
17973,Condition,,Scratches,,,on interior wall opposite entrance,,0,112555
17367,Condition,,Litter,,Light,in stall,,0,105371
17405,Condition,,Natural Debris,,Light,at restroom.,,0,105671
17436,Condition,,Litter,,Light,in toilet.,,0,105905
17500,Condition,,Litter,,Light,overall.,,0,106875
17532,Condition,,Litter,,Light,,,0,107307
16774,Condition,1,Dispensers Missing Soap,1,,,,1,100640
16775,Condition,1,No Toilet Paper,1,,,,1,100640
16778,Condition,,Stickers,,,on window.,,0,100642
16797,Condition,,Scratches,,,on mirror.,,0,100742
16943,Condition,,Litter,,Moderate,at toilet.,,0,101591
16935,Condition,1,,1,,Hand dryer broken.,,0,101593
16941,Condition,1,Soap Globe Missing,1,,,,0,101593
16936,Condition,,Litter,,Light,in toilet.,,0,101595
17021,Condition,1,No Toilet Paper,2,,,,1,102295
17057,Condition,1,Toilet Paper Dispensers Damaged,3,Light,,,0,102746
17068,Condition,1,Sinks,2,,faucet loose with leaking water. (still able to use facet),,0,102880
17097,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,103165
16191,Condition,1,Toilets OOS,3,,clogged,,0,94241
16246,Condition,,Soap Globe Missing,,,,,0,94873
16313,Condition,,,,,Cover missing on light fixture,,0,95643
18043,Condition,1,Dispensers Missing Soap,1,Heavy,,,1,112857
18044,Condition,1,No Paper Towels / Hand Dryer,1,Heavy,,,1,112857
18045,Condition,1,No Toilet Paper,1,Heavy,,,1,112857
18103,Condition,,Marker,,,on stall door,,0,113208
32102,Condition,3,Sinks OOS,24,Light,,,0,192533
32103,Condition,,Fixture Deterioration,,Light,/damaged stall  door.,,0,192533
41614,Condition,,Litter,,Light,within stalls,,0,226261
44993,Condition,,Paint Uneven / Not Uniform,,Moderate,on stall wall.,,0,257746
24845,Condition,,Litter,,Light,in womens RR,,0,170037
37986,Condition,1,Sinks OOS,3,Moderate,in the women restroom.,,0,212607
38004,Condition,1,Litter,1,Light,,,0,212922
43546,Condition,1,Changing Table,1,,missing in Womens PR(Noted),,0,238461
43569,Condition,1,Changing Table Damaged,1,,,,0,238661
39153,Condition,,Litter,,Moderate,in the men's restroom.,,0,215716
43214,Condition,,Litter,,Light,in restroom.,,0,234818
43264,Condition,,Litter,,Light,in restroom.,,0,235235
43274,Condition,1,Urinals OOS,1,Light,,,0,235485
43276,Condition,1,Marker,1,Light,on hand dryer & mirror,,0,235486
44546,Condition,,Litter,,Light,in stall,,0,251930
44587,Condition,,Litter,,Light,in restroom,,0,252466
44661,Condition,,Litter,,Light,in Men's PR,,0,253734
44670,Condition,1,Mirrors Deteriorated,1,,(damaged),,0,253901
24961,Condition,1,Litter,1,Heavy,,,1,171160
25035,Condition,,Litter,,Moderate,"/dumping, in restroom.",,1,172196
45044,Condition,,Litter,,Light,in stall,,0,258999
45045,Condition,,Litter,,Light,in stall,,0,259000
45107,Condition,,Litter,,Light,,,0,259818
45110,Condition,1,Urinals OOS,2,Light,in Mens PR,,0,259853
45151,Condition,1,No Toilet Paper,1,,,,1,260671
43746,Condition,3,Toilets OOS,4,Moderate,in the men's restroom.,,0,241033
43748,Condition,,Marker,,Moderate,in the men's restroom.,,1,241034
43831,Condition,,Litter,,Light,on floor,,0,242088
44696,Condition,,Spray Paint,,,/marker on Syringe Receptacle and stall wall.,,0,254187
44693,Condition,,Litter,,Light,in restroom.,,0,254188
44787,Condition,1,Toilets OOS,2,,,,0,255087
44856,Condition,,Litter,,Light,within stall,,0,255906
44855,Condition,,Marker,,Light,on wall,,0,255909
44069,Condition,1,Urinals OOS,1,,mens room,,0,245878
44070,Condition,1,Dispensers Missing Soap,1,,,,1,245881
44315,Condition,1,Urinals OOS,1,Moderate,,,0,249072
44392,Condition,,Scratches,,,on mirror.,,0,250126
45230,Condition,1,Soap Dispensers Damaged,1,,in Mens PR,,0,262039
45244,Condition,1,Dispensers Missing Soap,1,,,,1,262276
45245,Condition,1,No Toilet Paper,1,,,,1,262276
45277,Condition,1,Dispensers Missing Soap,1,,,,1,262625
45325,Condition,,Litter,,Light,on floor,,0,263412
45388,Condition,,Litter,,Moderate,in restroom.,,1,264447
4407,Condition,,Litter,,Heavy,,,0,241
25,Condition,,Marker,,Light,wall at toilet,,0,256
115,Condition,,Litter,,Light,overall,,0,691
140,Condition,,Dispensers Missing Soap,,,,,0,692
281,Condition,1,No Toilet Paper,1,,,,0,1059
282,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,1059
228,Condition,,Litter,,Light,,,0,1209
407,Condition,1,Dispensers Missing Soap,1,,,,0,1877
408,Condition,1,Soap Globe Missing,1,,,,0,1878
477,Condition,,Paint Uneven / Not Uniform,,Light,,,0,1878
423,Condition,,Paint Uneven / Not Uniform,,Light,,,0,1977
671,Condition,1,Soap Globe Missing,1,,,,0,2531
3249,Condition,1,Dispensers Missing Soap,1,,,,0,15264
3250,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,15264
3270,Condition,1,No Toilet Paper,1,,,,0,15332
3383,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,15832
3384,Condition,1,Dispensers Missing Soap,1,,,,0,15832
3603,Condition,1,Dispensers Missing Soap,1,,,,0,16704
3604,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,16704
4628,Condition,,Floors Deterioration,,Light,,,0,22719
4826,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,23788
6176,Condition,1,Fixture Deterioration,1,Light,sink,,0,30340
6284,Condition,,Litter,,Light,,,0,30976
6350,Condition,,Grime,,Light,on wall above toilet,,0,31376
6430,Condition,1,Stalls Missing Doors,1,,,,0,31843
6835,Condition,,Spray Paint,,,on window,,0,33329
2000,Condition,1,Urinals OOS,1,,,,0,9147
1999,Condition,1,Dispensers Missing Soap,1,,,,0,9148
2222,Condition,1,Dispensers Missing Soap,1,,,,0,9916
2223,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,9916
33405,Condition,,Litter,,Light,on railing in stall,,0,198312
33406,Condition,,Grime,,Light,on changing table,,0,198312
33439,Condition,,Marker,,,in toilet stall,,0,199891
42749,Condition,,Litter,,Light,within stall,,0,228914
42872,Condition,1,No Toilet Paper,3,,,,0,230557
42873,Condition,1,No Toilet Paper,1,,,,1,230561
42899,Condition,,Litter,,Light,in restroom.,,0,230736
42931,Condition,,Floors Deterioration,,Light,& floor tile patched,,0,231154
42948,Condition,1,Toilets OOS,,,,,0,231311
40374,Condition,1,No Toilet Paper,2,,,,1,219722
40377,Condition,1,Sinks OOS,2,Moderate,in the men's restroom.,,0,219779
41534,Condition,2,No Toilet Paper,2,,,,1,223716
35772,Condition,,Ceiling Deterioration,,Light,,,0,207829
43363,Condition,1,Dispensers Missing Soap,1,,,,1,236423
43422,Condition,1,Dispensers Missing Soap,1,,,,1,236984
22370,Condition,,Litter,,Light,in stalls,,0,160633
22408,Condition,1,Soap Dispensers Damaged,1,,,,0,160919
22460,Condition,,Stickers,,,on stall wall.,,0,161487
43115,Condition,,Sink Constantly Running,,Moderate,/water drain constantly running water,,1,233258
43906,Condition,,Spray Paint,,,on main door.,,0,243343
43998,Condition,,Natural Debris,,Light,in restroom.,,0,244808
30976,Condition,1,Marker,1,Light,on hand dryer.,,0,191367
31001,Condition,,Ceiling Deterioration,,Moderate,,,1,191660
32038,Condition,1,Dispensers Missing Soap,1,,,,1,191903
32050,Condition,1,Spray Paint,1,Light,on wall .,,0,192060
32073,Condition,,Litter,,Light,on ceiling.,,0,192178
41628,Condition,1,,1,Light,Urinal deteriorated.,,0,226331
41629,Condition,,Wall Deterioration,,Light,,,0,226331
42664,Condition,1,Dispensers Missing Soap,8,,,,0,227853
42695,Condition,,Fixture Deterioration,,Light,Urinal.,,0,228310
24718,Condition,,Litter,,Light,in stall,,0,168407
24755,Condition,1,No Paper Towels / Hand Dryer,1,,in Womens RR,,1,168964
24808,Condition,,Scratches,,,on mirrors.,,0,169657
24840,Condition,1,Sinks OOS,3,,,,0,169950
38005,Condition,1,Litter,1,Light,,,0,212934
38020,Condition,1,Sinks OOS,2,,,,0,213088
38077,Condition,,Marker,,Light,on window.,,0,213838
39165,Condition,1,Hand Dryer Damaged / OOS,2,Light,,,0,215810
39166,Condition,1,Toilets OOS,5,Moderate,,,0,215810
39172,Condition,1,Litter,1,Light,,,0,215996
43262,Condition,,Litter,,Light,in restroom.,,0,235212
44676,Condition,,Litter,,Moderate,in stall,,1,253907
24990,Condition,,Litter,,Light,at restroom.,,0,171440
24995,Condition,1,Dispensers Missing Soap,2,,,,0,171515
24996,Condition,2,No Toilet Paper,3,,,,1,171515
25012,Condition,1,Dispensers Missing Soap,1,,,,1,171915
25034,Condition,1,Dispensers Missing Soap,1,,,,1,172197
25040,Condition,1,Dispensers Missing Soap,1,,,,1,172201
25046,Condition,1,Dispensers Missing Soap,1,,,,1,172251
45424,Condition,1,Dispensers Missing Soap,2,,,,0,265196
45435,Condition,,Litter,,Light,in Men's PR,,0,265264
45008,Condition,,Litter,,Light,,,0,258201
45026,Condition,,Litter,,Moderate,in restroom.,,1,258576
45058,Condition,,Litter,,Light,in stall northern stall,,0,259144
43717,Condition,1,Dispensers Missing Soap,1,,,,1,240528
43720,Condition,1,Litter,1,Light,,,0,240571
43832,Condition,1,No Toilet Paper,1,,,,1,242089
44692,Condition,1,Dispensers Missing Soap,1,,,,1,254189
44694,Condition,1,No Toilet Paper,1,,,,1,254189
44826,Condition,,>25 square feet vertical,,,on wall near sinks,,1,255493
44852,Condition,1,Toilets OOS,39,,within Women's PR,,0,255836
44929,Condition,1,Hand Dryer Damaged / OOS,1,,,,0,256833
44204,Condition,1,Fixture Deterioration,1,Light,(toilet paper dispenser damaged),,0,247791
44372,Condition,,Litter,,Light,,,0,250020
44395,Condition,1,Dispensers Missing Soap,1,,,,1,250120
45225,Condition,,Litter,,Light,on the floor adj urinal,,0,261938
45224,Condition,,Marker,,Light,on hand dryer,,0,261945
45275,Condition,,Paint Uneven / Not Uniform,,,on stall wall,,0,262538
304,Condition,1,Dispensers Missing Soap,1,,,,0,1372
415,Condition,,Dispensers Missing Soap,,,,,0,1897
416,Condition,,No Paper Towels / Hand Dryer,,,,,0,1897
422,Condition,1,Dispensers Missing Soap,1,,,,0,1976
32048,Condition,1,Wall Deterioration,1,Light,wall damaged adj urinal.,,0,192057
41612,Condition,1,Litter,1,Moderate,,,0,226153
42665,Condition,,Scratches,,,on mirrors.,,0,227855
42661,Condition,1,Dispensers Missing Soap,8,Moderate,,,0,227857
24934,Condition,,Litter,,Light,in stall,,0,170935
37980,Condition,1,Dispensers Missing Soap,1,,,,1,212513
38043,Condition,1,Toilets OOS,4,,,,0,213364
38045,Condition,,Changing Table Damaged,,Light,front panel missing,,0,213400
38050,Condition,1,Dispensers Missing Soap,1,,,,1,213432
39115,Condition,,Litter,,Light,in stalls,,0,215187
43480,Condition,1,Litter,1,Light,,,0,237617
43551,Condition,,Litter,,Light,in Womens PR Stall,,0,238451
43596,Condition,1,Sink Constantly Running,2,Light,,,0,239070
43263,Condition,1,No Toilet Paper,2,,,,1,235211
43273,Condition,1,Dispensers Missing Soap,1,,,,1,235443
44544,Condition,,Litter,,Light,within stall,,0,251838
44671,Condition,,Grime,,Light,on baby changing table,,0,253895
44675,Condition,1,No Toilet Paper,1,,,,1,253910
24979,Condition,,Litter,,Light,at restroom.,,0,171252
24992,Condition,,Ceiling Deterioration,,Light,,,0,171450
45414,Condition,1,Hand Dryer Damaged / OOS,1,,,,0,264857
45416,Condition,1,Stalls Missing Doors,4,,,,0,264857
43742,Condition,1,Changing Table Damaged,1,,(table opens at greater than a 90 degree angle),,0,240993
43778,Condition,1,No Toilet Paper,1,,,,1,241408
43792,Condition,,Marker,,,on wall.,,0,241410
44702,Condition,1,No Toilet Paper,1,,,,1,254193
44788,Condition,1,Dispensers Missing Soap,1,,,,1,255082
44895,Condition,1,Stalls Missing Doors,1,,,,0,256352
44898,Condition,1,No Functioning Dryer (and no paper towels),1,Heavy,,,1,256435
44932,Condition,,Natural Debris,,Light,in restroom.,,0,256835
44933,Condition,,Litter,,Light,in restroom.,,0,256835
44942,Condition,,Litter,,Moderate,in restroom.,,1,257135
44034,Condition,,Litter,,Light,in Women's PR,,0,245388
44178,Condition,1,Litter,1,Light,,,0,247541
44262,Condition,,Scratches,,,on mirror.,,0,248413
44294,Condition,1,Changing Table Damaged,1,,,,0,248864
44320,Condition,,Floors Deterioration,,Light,,,0,249296
44360,Condition,,Litter,,Light,,,0,249764
44370,Condition,,Marker,,Light,above urinal and in ADA stall,,0,250017
45380,Condition,1,Wall Deterioration,2,,(stall door missing),,0,264255
31,Condition,2,Litter,2,Light,on floor and toilet seat,,0,282
180,Condition,,No Paper Towels / Hand Dryer,,,,,0,967
181,Condition,,Dispensers Missing Soap,,,,,0,967
182,Condition,,No Toilet Paper,,,,,0,967
365,Condition,1,Soap Globe Missing,1,,,,0,1401
364,Condition,,,,,wooden stall door,,0,1501
426,Condition,,Dispensers Missing Soap,,,,,0,2022
441,Condition,,Litter,,Light,,,0,2120
501,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,2305
604,Condition,1,Dispensers Missing Soap,1,,globe is missing,,0,2537
614,Condition,1,Stalls Missing Doors,1,,,,0,2571
3248,Condition,1,No Toilet Paper,1,,,,0,15256
3260,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,15288
3261,Condition,1,Dispensers Missing Soap,1,,,,0,15288
3339,Condition,1,Dispensers Missing Soap,1,,,,0,15624
3410,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,15892
3498,Condition,1,Marker,1,,on hand towel dispenser,,0,16277
3540,Condition,1,Dispensers Missing Soap,1,,,,0,16492
4691,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,23029
4787,Condition,1,No Paper Towels / Hand Dryer,1,,,,0,23561
4788,Condition,1,Dispensers Missing Soap,1,,,,0,23561
4856,Condition,,Dispensers Missing Soap,,,,,0,23829
4853,Condition,,Litter,,Light,,,0,23948
5087,Condition,,Marker,,,on mirror,,0,25301
5166,Condition,,No Paper Towels / Hand Dryer,,,,,0,25601
5209,Condition,3,Stalls Missing Doors,4,,,,0,25750
5214,Condition,1,Toilets OOS,4,,,,0,25750
5215,Condition,,Wall Deterioration,,Light,,,0,25750
5210,Condition,,Litter,,Heavy,,,0,25752
6332,Condition,,Floors Deterioration,,Moderate,,,0,31266
6733,Condition,,Marker,,,above urinal,,0,32921
6818,Condition,1,No Toilet Paper,1,,,,1,33291
1770,Condition,1,Dispensers Missing Soap,1,,,,0,7904
11884,Condition,,Marker,,,on stall door,,0,58881
11919,Condition,2,No Toilet Paper,2,,,,1,59179
11920,Condition,1,Dispensers Missing Soap,1,,,,1,59179
11922,Condition,4,No Toilet Paper,4,,,,1,59183
11923,Condition,1,Dispensers Missing Soap,1,,,,1,59183
11949,Condition,1,Soap Globe Missing,1,,,,0,59324
11950,Condition,1,Fixture Deterioration,1,,urinal cracked,,0,59324
11999,Condition,1,Changing Tables Deteriorated,1,,strap broken,,0,59617
10278,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,50298
10279,Condition,1,Dispensers Missing Soap,1,,,,1,50298
10280,Condition,1,No Toilet Paper,2,,,,1,50298
10542,Condition,,Litter,,Light,on floor and sink.,,0,51525
10606,Condition,1,Dispensers Missing Soap,1,,men's room,,1,51895
10661,Condition,,,,,,,0,52170
10662,Condition,,Soap Dispensers Damaged,,,,,0,52172
10689,Condition,1,Hand Dryers Broken,1,,,,1,52270
10692,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,52270
10757,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,52563
17953,Condition,,Litter,,Light,at toilet stall,,0,112370
17360,Condition,1,No Toilet Paper,1,,,,1,105216
17502,Condition,,Mirrors Deteriorated,,,removed,,0,106886
17504,Condition,,Litter,,Light,toilet stall,,0,106888
17535,Condition,,Litter,,Light,in stall,,0,107379
17543,Condition,1,No Toilet Paper,1,,,,1,107490
16801,Condition,1,Soap Dispensers Missing,2,,,,0,100729
16799,Condition,,Scratches,,,"on stall wall, mirror and toilet paper dispenser.",,0,100738
16938,Condition,1,,1,,Hand dryer broken.,,0,101597
16918,Condition,,Wall Deterioration,,Light,,,0,101665
16983,Condition,,Litter,,Moderate,,,1,101972
17085,Condition,1,Dispensers Missing Soap,1,,,,1,103069
17086,Condition,3,No Toilet Paper,3,,,,1,103069
17098,Condition,,Marker,,,on hand dryer,,0,103167
17099,Condition,,Marker,,,on wall behind door,,0,103167
16209,Condition,2,,2,,Doors missing.,,0,94477
16210,Condition,,,,,Window damaged.,,0,94477
16390,Condition,,,,,Damaged door.,,0,96817
18071,Condition,1,No Toilet Paper,2,,,,1,112893
18072,Condition,,Scratches,,,on mirror.,,0,112895
18137,Condition,1,Urinals OOS,1,,,,1,113161
18286,Condition,1,Marker,1,Light,on hand dryer,,0,114501
18344,Condition,,Marker,,Light,on stall wall,,0,114935
18340,Condition,1,Fixture Deterioration,1,,Porcelain on sink worn,,0,114942
18369,Condition,1,Dispensers Missing Soap,1,,,,1,115203
18370,Condition,1,No Toilet Paper,2,,,,1,115203
18400,Condition,1,No Toilet Paper,1,,,,1,115403
13688,Condition,,,,,Scratches on mirrors.,,0,73051
13742,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,73728
13849,Condition,,Ceiling Deterioration,,Light,water damage,,0,74934
13850,Condition,,Wall Deterioration,,,women's sign deteriorated,,0,74934
17653,Condition,,Litter,,Light,in stall,,0,108894
17654,Condition,,Grime,,Moderate,on wall adj dryer,,0,108894
17683,Condition,2,Stalls Missing Doors,2,,,,1,109226
15613,Condition,,Litter,,Heavy,,,0,89633
15614,Condition,,No Toilet Paper,,,,,1,89638
15615,Condition,,Dispensers Missing Soap,,,,,1,89638
21467,Condition,1,Litter,1,Light,in womans CS.,,0,149302
21483,Condition,,Litter,,Light,at restroom.,,0,149470
14765,Condition,,,,Light,rust on male comfort station sink,,0,81886
20909,Condition,,Scratches,,,and marker on wall and mirror.,,0,142518
20948,Condition,1,Toilets OOS,3,,,,0,142777
20949,Condition,2,,3,,stall doors don't lock,,0,142777
17150,Condition,1,Wall Deterioration,1,,stall door doesn't lock/close,,0,103535
19571,Condition,1,Soap Dispensers Damaged,1,,,,0,127544
19572,Condition,1,,1,,stall door doesn't close,,0,127544
19725,Condition,,Marker,,Light,at urinal,,0,129048
21537,Condition,,Litter,,Moderate,at restroom.,,1,150440
21554,Condition,1,No Toilet Paper,2,,,,1,150633
21585,Condition,1,Hand Dryer Damaged / OOS,1,,,,0,151174
21661,Condition,1,Litter,1,Moderate,,,0,152112
21696,Condition,,,,,,,0,152435
21700,Condition,,,,,,,0,152437
19129,Condition,3,No Toilet Paper,4,,in the stalls.,,1,123400
19151,Condition,,Litter,,Light,in stall,,0,123759
19152,Condition,,Grime,,Light,on toilet seat,,0,123759
19193,Condition,,Scratches,,,on mirror,,0,124091
18157,Condition,1,Dispensers Missing Soap,1,,,,1,113608
18173,Condition,2,No Toilet Paper,2,,,,1,113710
18225,Condition,,Mirrors Deteriorated,,Light,cracked,,0,114176
18295,Condition,,Scratches,,,on mirror.,,0,114595
18341,Condition,1,Fixture Deterioration,1,,Porcelain on sink worn,,0,114946
18384,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,115265
13689,Condition,1,No Toilet Paper,3,,,,0,73049
13703,Condition,,Litter,,Light,,,0,73249
13764,Condition,,Fixture Deterioration,,,two broken window panes,,0,74000
13767,Condition,1,Soap Dispensers Missing,1,,,,0,74000
13765,Condition,1,Dispensers Missing Soap,1,,,,1,74002
13766,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,74002
13797,Condition,,Marker,,Light,on light cover,,0,74402
13845,Condition,1,Toilets OOS,2,Heavy,,,1,74887
17622,Condition,,Marker,,,on metal panal above ADA stall,,0,108564
17662,Condition,,Litter,,Light,in stall,,0,108998
17712,Condition,,Litter,,Moderate,in stall,,0,109515
17755,Condition,1,No Paper Towels / Hand Dryer,1,,,,1,109881
15549,Condition,1,Dispensers Missing Soap,1,,,,1,89074
21510,Condition,,Litter,,Light,in women's stall.,,0,149791
19086,Condition,,Litter,,Light,at toilet.,,0,123187
20347,Condition,1,Dispensers Missing Soap,1,,,,1,136038
14766,Condition,,No Toilet Paper,,,,,0,81888
20782,Condition,0,Wall Deterioration,1,Light,in womens CS tile damage.,,0,141352
20910,Condition,,Scratches,,,on mirrors.,,0,142522
17106,Condition,1,Dispensers Missing Soap,1,,,,1,103229
17181,Condition,,Marker,,Light,on window,,0,103697
17243,Condition,,,,,Bar soap present.,,0,104335
19756,Condition,1,Litter,1,Moderate,in mens bathroom.,,0,129218
19759,Condition,1,,1,Light,hand dryer damaged in mens bathroom.,,0,129220
21539,Condition,,Litter,,Light,at restroom.,,0,150444
21553,Condition,1,No Toilet Paper,1,,,,1,150629
21592,Condition,,,,,sink dripping significantly,,0,151231
21701,Condition,1,No Paper Towels / Hand Dryer,2,,,,0,152433
19146,Condition,,Litter,,Light,,,0,123687
19166,Condition,,,,,Sticker & paint on window.,,0,123887
19260,Condition,1,Dispensers Missing Soap,1,,,,1,124540
19386,Condition,1,Dispensers Missing Soap,1,,,,1,125942
18462,Condition,,Scratches,,,and marker on stall door.,,0,116033
18708,Condition,,Litter,,Heavy,throughout CS,,1,118090
18727,Condition,,Ceiling Deterioration,,Light,,,0,118290
20390,Condition,1,Soap Dispensers Damaged,1,,,,0,136504
20388,Condition,1,No Paper Towels / Hand Dryer,2,,(Dryer OOS),,0,136506
20411,Condition,1,No Toilet Paper,1,,,,1,136925
20462,Condition,1,Urinals OOS,2,,,,0,137640
17828,Condition,,Litter,,Heavy,in stall,,1,110936
17842,Condition,1,,1,,Dryer damaged.,,0,111102
17891,Condition,1,Fixture Deterioration,1,Moderate,urinal constantly running,,1,111702
19996,Condition,1,Urinals OOS,1,Moderate,,,1,131373
19997,Condition,,Litter,,Light,in stall,,0,131375
21053,Condition,1,Dispensers Missing Soap,1,,,,1,144009
21143,Condition,1,Dispensers Missing Soap,1,,,,1,144694
28580,Condition,1,Grime,1,Moderate,on sink,,1,184170
28686,Condition,,Litter,,Moderate,,,0,185555
29755,Condition,1,Dispensers Missing Soap,1,,,,1,187361
20682,Condition,1,Grime,1,Heavy,on changing table,,1,140248
20681,Condition,1,Toilets OOS,1,,,,1,140250
20706,Condition,1,Litter,1,Moderate,mens Cs.,,1,140482
20759,Condition,,Litter,,Light,at restroom.,,0,140916
20760,Condition,,Litter,,Heavy,at restroom.,,1,140918
25157,Condition,,Litter,,Light,in stall,,0,175176
26300,Condition,1,Dispensers Missing Soap,1,,,,1,177650
21765,Condition,1,Litter,0,Light,in Mens CS,,0,153401
29821,Condition,1,Dispensers Missing Soap,1,,,,1,188014
29839,Condition,,Toilet Paper Dispensers Damaged,,Light,not fully secured to wall,,0,188299
29904,Condition,1,Litter,1,Moderate,,,0,189099
30928,Condition,,>15 square feet vertical,,,on multiple surfaces throughout men's room,,1,190535
39214,Condition,1,Hand Dryer Damaged / OOS,1,,,,0,216490
39292,Condition,,Litter,,Light,in restroom.,,0,217496
39325,Condition,,Litter,,Light,in stall,,0,217996
20050,Condition,,Litter,,Light,within stall,,0,131992
30977,Condition,1,Litter,1,Light,,,0,191369
32101,Condition,,Scratches,,Moderate,on mirror,,0,192530
32117,Condition,1,Toilets OOS,4,,,,0,192805
32121,Condition,,Litter,,Light,within stalls,,0,192955
44458,Condition,,Litter,,Light,in Men's PR,,0,250897
41562,Condition,1,Toilet Paper Dispensers Damaged,3,,,,0,225254
44991,Condition,,Marker,,,on wall.,,0,257749
24805,Condition,,,,Light,Window damage.,,0,169652
